deception-honeypot-1  | services > telnet > category=telnet, date=2023-10-15 16:19:11.352106357 +0000 UTC m=+988.873626584, destination-ip=172.18.0.2, destination-port=8023, sensor=services, source-ip=172.18.0.1, source-port=39642, telnet.sessionid=ckm11vtbsae000atm7j0, token=ckm0q8lbsae000atm5rg, type=connect
deception-honeypot-1  | services > telnet > category=telnet, date=2023-10-15 16:20:07.913636601 +0000 UTC m=+1045.435156738, destination-ip=172.18.0.2, destination-port=8023, sensor=services, source-ip=172.18.0.1, source-port=47334, telnet.command=display arp interface GigabitEthernet 0/0/1, telnet.sessionid=ckm12bdbsae000atm7kg, token=ckm0q8lbsae000atm5rg, type=session
deception-honeypot-1  | services > telnet > category=telnet, date=2023-10-15 16:20:12.91467327 +0000 UTC m=+1050.436193579, destination-ip=172.18.0.2, destination-port=8023, sensor=services, source-ip=172.18.0.1, source-port=47334, telnet.command=display arp, telnet.sessionid=ckm12bdbsae000atm7kg, token=ckm0q8lbsae000atm5rg, type=session
deception-honeypot-1  | services > telnet > category=telnet, date=2023-10-15 16:20:17.915141901 +0000 UTC m=+1055.436662493, destination-ip=172.18.0.2, destination-port=8023, sensor=services, source-ip=172.18.0.1, source-port=47334, telnet.command=display session limit vpn-instance vpna, telnet.sessionid=ckm12bdbsae000atm7kg, token=ckm0q8lbsae000atm5rg, type=session
deception-honeypot-1  | services > http > category=http, date=2023-10-15 16:20:32.918000806 +0000 UTC m=+1070.439521034, destination-ip=172.18.0.2, destination-port=8080, http.header.accept-encoding=[]string{"gzip"}, http.header.user-agent=[]string{"Go-http-client/1.1"}, http.host=localhost, http.method=GET, http.proto=HTTP/1.1, http.sessionid=ckm12k5bsae000atm7l0, http.url=/robots.txt, payload-hex=, payload-length=0, payload=, sensor=services, source-ip=172.18.0.1, source-port=36116, token=ckm0q8lbsae000atm5rg, type=request
deception-honeypot-1  | services > http > category=http, date=2023-10-15 16:20:37.919991968 +0000 UTC m=+1075.441512222, destination-ip=172.18.0.2, destination-port=8080, http.header.accept-encoding=[]string{"gzip"}, http.header.user-agent=[]string{"Go-http-client/1.1"}, http.host=localhost, http.method=GET, http.proto=HTTP/1.1, http.sessionid=ckm12k5bsae000atm7l0, http.url=/admin, payload-hex=, payload-length=0, payload=, sensor=services, source-ip=172.18.0.1, source-port=36116, token=ckm0q8lbsae000atm5rg, type=request
deception-honeypot-1  | services > http > category=http, date=2023-10-15 16:20:42.922159812 +0000 UTC m=+1080.443680109, destination-ip=172.18.0.2, destination-port=8080, http.header.accept-encoding=[]string{"gzip"}, http.header.user-agent=[]string{"Go-http-client/1.1"}, http.host=localhost, http.method=GET, http.proto=HTTP/1.1, http.sessionid=ckm12k5bsae000atm7l0, http.url=/phpinfo.php, payload-hex=, payload-length=0, payload=, sensor=services, source-ip=172.18.0.1, source-port=36116, token=ckm0q8lbsae000atm5rg, type=request
deception-honeypot-1  | services > http > category=http, date=2023-10-15 16:20:47.92480737 +0000 UTC m=+1085.446327810, destination-ip=172.18.0.2, destination-port=8080, http.header.accept-encoding=[]string{"gzip"}, http.header.user-agent=[]string{"Go-http-client/1.1"}, http.host=localhost, http.method=GET, http.proto=HTTP/1.1, http.sessionid=ckm12k5bsae000atm7l0, http.url=/admin.php, payload-hex=, payload-length=0, payload=, sensor=services, source-ip=172.18.0.1, source-port=36116, token=ckm0q8lbsae000atm5rg, type=request
deception-honeypot-1  | services > http > category=http, date=2023-10-15 16:20:52.927188795 +0000 UTC m=+1090.448709202, destination-ip=172.18.0.2, destination-port=8080, http.header.accept-encoding=[]string{"gzip"}, http.header.user-agent=[]string{"Go-http-client/1.1"}, http.host=localhost, http.method=GET, http.proto=HTTP/1.1, http.sessionid=ckm12k5bsae000atm7l0, http.url=/login.php, payload-hex=, payload-length=0, payload=, sensor=services, source-ip=172.18.0.1, source-port=36116, token=ckm0q8lbsae000atm5rg, type=request
deception-honeypot-1  | services > redis > category=redis, date=2023-10-15 16:21:07.931177612 +0000 UTC m=+1105.452697947, destination-ip=172.18.0.2, destination-port=6379, redis.command=GET admin, sensor=services, source-ip=172.18.0.1, source-port=51600, token=ckm0q8lbsae000atm5rg, type=redis-command
deception-honeypot-1  | services > redis > category=redis, date=2023-10-15 16:21:12.932895982 +0000 UTC m=+1110.454416313, destination-ip=172.18.0.2, destination-port=6379, redis.command=KEYS * , sensor=services, source-ip=172.18.0.1, source-port=51600, token=ckm0q8lbsae000atm5rg, type=redis-command
deception-honeypot-1  | services > redis > category=redis, date=2023-10-15 16:21:17.934670502 +0000 UTC m=+1115.456190780, destination-ip=172.18.0.2, destination-port=6379, redis.command=SELECT 1, sensor=services, source-ip=172.18.0.1, source-port=51600, token=ckm0q8lbsae000atm5rg, type=redis-command
deception-honeypot-1  | services > redis > category=redis, date=2023-10-15 16:21:22.936237987 +0000 UTC m=+1120.457758308, destination-ip=172.18.0.2, destination-port=6379, redis.command=CONFIG GET *, sensor=services, source-ip=172.18.0.1, source-port=51600, token=ckm0q8lbsae000atm5rg, type=redis-command
deception-honeypot-1  | services > redis > category=redis, date=2023-10-15 16:21:27.938085593 +0000 UTC m=+1125.459605965, destination-ip=172.18.0.2, destination-port=6379, redis.command=INFO, sensor=services, source-ip=172.18.0.1, source-port=51600, token=ckm0q8lbsae000atm5rg, type=redis-command
deception-honeypot-1  | services > ftp > category=ftp, date=2023-10-15 16:21:42.943134508 +0000 UTC m=+1140.464654841, destination-ip=172.18.0.2, destination-port=8021, ftp.command=USER anonymous, ftp.sessionid=1892e1d5c41dd73d38f9, sensor=services, source-ip=172.18.0.1, source-port=47232, token=ckm0q8lbsae000atm5rg
deception-honeypot-1  | services > ftp > category=ftp, date=2023-10-15 16:21:42.944078156 +0000 UTC m=+1140.465598449, destination-ip=172.18.0.2, destination-port=8021, ftp.command=PASS anonymous, ftp.sessionid=8bf36345fa782cadbff5, sensor=services, source-ip=172.18.0.1, source-port=47224, token=ckm0q8lbsae000atm5rg
deception-honeypot-1  | services > ftp > category=ftp, date=2023-10-15 16:21:42.944773363 +0000 UTC m=+1140.466293655, destination-ip=172.18.0.2, destination-port=8021, ftp.command=FEAT, ftp.sessionid=22de711ed450718dda4d, sensor=services, source-ip=172.18.0.1, source-port=40828, token=ckm0q8lbsae000atm5rg
deception-honeypot-1  | services > ftp > category=ftp, date=2023-10-15 16:21:42.945314558 +0000 UTC m=+1140.466834898, destination-ip=172.18.0.2, destination-port=8021, ftp.command=STOR /etc/passwd, ftp.sessionid=365d86c3d7795336e5b3, sensor=services, source-ip=172.18.0.1, source-port=55226, token=ckm0q8lbsae000atm5rg
deception-honeypot-1  | services > ftp > category=ftp, date=2023-10-15 16:21:47.946306775 +0000 UTC m=+1145.467827045, destination-ip=172.18.0.2, destination-port=8021, ftp.command=LIST -l, ftp.sessionid=4e794084c05a53fa4aac, sensor=services, source-ip=172.18.0.1, source-port=42862, token=ckm0q8lbsae000atm5rg
deception-honeypot-1  | services > ftp > category=ftp, date=2023-10-15 16:21:52.94633819 +0000 UTC m=+1150.467858326, destination-ip=172.18.0.2, destination-port=8021, ftp.command=HELP, ftp.sessionid=703ef4e2939a818e03ee, sensor=services, source-ip=172.18.0.1, source-port=42872, token=ckm0q8lbsae000atm5rg
deception-honeypot-1  | services > ftp > category=ftp, date=2023-10-15 16:21:57.946977554 +0000 UTC m=+1155.468497953, destination-ip=172.18.0.2, destination-port=8021, ftp.command=APPE /exploit.sh, ftp.sessionid=c5ee0be45470f0ff57f2, sensor=services, source-ip=172.18.0.1, source-port=42868, token=ckm0q8lbsae000atm5rg
deception-honeypot-1  | services > ftp > category=ftp, date=2023-10-15 16:22:02.946788825 +0000 UTC m=+1160.468308968, destination-ip=172.18.0.2, destination-port=8021, ftp.command=PWD, ftp.sessionid=8fd74e3ce0ca39c938a9, sensor=services, source-ip=172.18.0.1, source-port=42882, token=ckm0q8lbsae000atm5rg
